Task_Type,Workload_Level,Execution_Time,Resource_Type,Priority_Status,Energy_Consumption,Carbon_Emission,Emission_Category,Region,Time_Slot,Decision
Shipment Tracking,Critical,131,VM_XLarge,Low,3.24,0.76,Medium,us-west,Off-Peak,Schedule Night (Low Load)
Warehouse Allocation,High,68,VM_Large,Medium,1.86,0.63,Medium,eu-central,Weekend,Schedule Night (Low Load)
Inventory Update,Low,10,VM_Small,Critical,0.31,0.09,Very Low,eu-central,Peak,Green Region Immediate
Shipment Tracking,Critical,220,Bare_Metal,Low,6.29,3.07,Very High,ap-east,Weekend,Shift to Green Region + Night
Shipment Tracking,High,66,VM_Large,Medium,1.65,0.75,Medium,ap-east,Night,Schedule Night (Low Load)
Warehouse Allocation,Low,22,Container_Micro,Medium,0.18,0.06,Very Low,us-west,Weekend,Green Region Immediate
Payment Settlement,High,84,Container_Large,Critical,1.08,0.44,Medium,us-east,Off-Peak,Schedule Night (Low Load)
Shipment Tracking,Medium,34,Container_Small,Critical,0.35,0.19,Low,ap-south,Off-Peak,Green Region Immediate
Fleet Dispatch,Low,18,VM_Small,Low,0.36,0.16,Low,ap-east,Weekend,Green Region Immediate
Quality Control,Critical,297,Bare_Metal,Medium,11.12,4.41,Very High,ap-east,Peak,Shift to Green Region + Night
Returns Processing,Medium,32,Container_Small,Critical,0.34,0.16,Low,us-east,Off-Peak,Green Region Immediate
Quality Control,Medium,31,Container_Small,High,0.4,0.09,Very Low,us-west,Peak,Green Region Immediate
Warehouse Allocation,High,117,Container_Large,Low,1.86,0.58,Medium,us-west,Peak,Schedule Night (Low Load)
Returns Processing,High,113,VM_Large,Critical,2.89,0.6,Medium,us-west,Off-Peak,Schedule Night (Low Load)
Quality Control,Critical,242,VM_XLarge,Medium,4.28,1.84,Very High,us-east,Night,Shift to Green Region + Night
Returns Processing,Critical,278,Bare_Metal,Critical,7.82,1.7,Very High,us-west,Weekend,Shift to Green Region + Night
Supplier Management,Critical,243,Bare_Metal,Medium,6.96,3.26,Very High,ap-east,Weekend,Shift to Green Region + Night
Order Processing,Critical,187,VM_XLarge,High,5.33,0.63,Medium,Green_Region,Peak,Schedule Night (Low Load)
Supplier Management,Medium,41,Container_Small,High,0.44,0.17,Low,eu-central,Off-Peak,Green Region Immediate
Warehouse Allocation,High,96,VM_Large,Critical,2.4,1.48,High,ap-south,Weekend,Shift to Green Region + Night
Shipment Tracking,High,87,VM_Large,Medium,2.4,1.05,High,us-east,Off-Peak,Shift to Green Region + Night
Inventory Update,Low,24,Container_Micro,Medium,0.22,0.02,Very Low,Green_Region,Off-Peak,Execute Immediately
Quality Control,Low,29,Container_Micro,Medium,0.27,0.17,Low,ap-south,Off-Peak,Green Region Immediate
Inventory Update,High,101,Container_Large,Critical,1.14,0.3,Low,us-west,Night,Green Region Immediate
Shipment Tracking,Medium,57,Container_Small,Critical,0.64,0.32,Low,us-east,Off-Peak,Green Region Immediate
Returns Processing,High,112,VM_Large,High,2.88,0.19,Low,Green_Region,Weekend,Execute Immediately
Demand Forecasting,High,88,VM_Large,High,2.16,0.93,High,ap-east,Weekend,Shift to Green Region + Night
Demand Forecasting,Medium,47,Container_Small,Critical,0.44,0.27,Low,ap-south,Night,Green Region Immediate
Supplier Management,High,103,VM_Large,Critical,2.42,0.9,High,eu-central,Night,Shift to Green Region + Night
Quality Control,Critical,140,VM_XLarge,Critical,3.35,1.36,High,us-east,Weekend,Shift to Green Region + Night
Shipment Tracking,High,111,Container_Large,Medium,1.21,0.6,Medium,us-east,Night,Schedule Night (Low Load)
Fleet Dispatch,Low,18,Container_Micro,High,0.16,0.05,Very Low,us-west,Weekend,Green Region Immediate
Returns Processing,Medium,36,VM_Medium,Medium,0.74,0.3,Low,us-east,Weekend,Green Region Immediate
Quality Control,High,89,VM_Large,Medium,2.99,1.65,Very High,ap-south,Peak,Shift to Green Region + Night
Supplier Management,Low,29,Container_Micro,Medium,0.22,0.13,Very Low,ap-south,Night,Green Region Immediate
Payment Settlement,Medium,48,Container_Small,Low,0.53,0.31,Low,ap-south,Off-Peak,Green Region Immediate
Returns Processing,Medium,47,VM_Medium,High,1.06,0.68,Medium,ap-south,Weekend,Schedule Night (Low Load)
Shipment Tracking,Critical,134,VM_XLarge,High,3.27,1.9,Very High,ap-south,Weekend,Shift to Green Region + Night
Order Processing,Medium,53,VM_Medium,High,1.52,0.11,Very Low,Green_Region,Peak,Execute Immediately
Demand Forecasting,Critical,164,VM_XLarge,Critical,3.43,1.63,Very High,ap-east,Night,Shift to Green Region + Night
Inventory Update,High,71,VM_Large,Critical,1.93,0.46,Medium,us-west,Off-Peak,Schedule Night (Low Load)
Inventory Update,Critical,248,VM_XLarge,High,5.02,1.66,Very High,eu-central,Weekend,Shift to Green Region + Night
Supplier Management,High,113,VM_Large,Critical,2.61,1.06,High,us-east,Night,Shift to Green Region + Night
Demand Forecasting,Low,19,VM_Small,Medium,0.37,0.17,Low,ap-east,Weekend,Green Region Immediate
Order Processing,Medium,55,Container_Small,Medium,0.58,0.33,Low,ap-south,Weekend,Green Region Immediate
Warehouse Allocation,High,96,VM_Large,High,3.44,0.18,Low,Green_Region,Peak,Execute Immediately
Demand Forecasting,Medium,51,VM_Medium,High,1.12,0.13,Very Low,Green_Region,Off-Peak,Execute Immediately
Fleet Dispatch,Critical,164,VM_XLarge,Low,3.65,1.01,High,eu-central,Weekend,Shift to Green Region + Night
Warehouse Allocation,High,103,VM_Large,Medium,3.59,1.61,Very High,ap-east,Peak,Shift to Green Region + Night
Shipment Tracking,High,80,Container_Large,Medium,1.01,0.26,Low,us-west,Weekend,Green Region Immediate
Inventory Update,High,106,VM_Large,Critical,3.7,0.83,High,us-west,Peak,Shift to Green Region + Night
Warehouse Allocation,High,71,Container_Large,High,0.92,0.45,Medium,us-east,Weekend,Schedule Night (Low Load)
Demand Forecasting,Low,20,VM_Small,Medium,0.37,0.02,Very Low,Green_Region,Night,Execute Immediately
Inventory Update,Low,27,Container_Micro,Low,0.3,0.21,Low,ap-south,Peak,Green Region Immediate
Payment Settlement,Medium,41,Container_Small,Medium,0.41,0.19,Low,ap-east,Night,Green Region Immediate
Returns Processing,High,115,Container_Large,Low,1.25,0.45,Medium,eu-central,Night,Schedule Night (Low Load)
Inventory Update,High,68,Container_Large,Low,0.78,0.37,Low,ap-east,Night,Green Region Immediate
Warehouse Allocation,Medium,51,VM_Medium,High,1.52,0.47,Medium,us-west,Peak,Schedule Night (Low Load)
Quality Control,Medium,40,Container_Small,Medium,0.43,0.18,Low,us-east,Off-Peak,Green Region Immediate
Quality Control,Critical,271,VM_XLarge,Critical,4.81,3.06,Very High,ap-south,Night,Shift to Green Region + Night
Inventory Update,High,102,VM_Large,Critical,2.5,1.03,High,ap-east,Weekend,Shift to Green Region + Night
Order Processing,Critical,133,VM_XLarge,Critical,4.24,1.16,High,us-west,Peak,Shift to Green Region + Night
Fleet Dispatch,High,109,Container_Large,Critical,1.44,0.67,Medium,ap-east,Off-Peak,Schedule Night (Low Load)
Supplier Management,Medium,37,Container_Small,Medium,0.5,0.03,Very Low,Green_Region,Peak,Execute Immediately
Returns Processing,Medium,55,Container_Small,Critical,0.6,0.05,Very Low,Green_Region,Weekend,Execute Immediately
Warehouse Allocation,High,99,Container_Large,High,1.3,0.07,Very Low,Green_Region,Off-Peak,Green Region Immediate
Returns Processing,High,98,Container_Large,High,1.55,0.62,Medium,ap-east,Peak,Schedule Night (Low Load)
Demand Forecasting,Critical,121,Bare_Metal,High,4.28,1.75,Very High,us-east,Off-Peak,Schedule Night (Low Load)
Order Processing,Medium,44,Container_Small,Medium,0.41,0.03,Very Low,Green_Region,Night,Execute Immediately
Shipment Tracking,Medium,36,Container_Small,Critical,0.35,0.15,Low,us-east,Weekend,Green Region Immediate
Warehouse Allocation,Medium,40,Container_Small,Medium,0.54,0.06,Very Low,Green_Region,Peak,Execute Immediately
Demand Forecasting,Low,11,Container_Micro,Critical,0.12,0.04,Very Low,eu-central,Peak,Green Region Immediate
Inventory Update,Medium,39,VM_Medium,Critical,0.8,0.38,Low,ap-east,Night,Green Region Immediate
Inventory Update,High,85,VM_Large,Medium,2.08,0.93,High,us-east,Night,Shift to Green Region + Night
Inventory Update,Low,10,Container_Micro,High,0.08,0.03,Very Low,us-east,Night,Green Region Immediate
Shipment Tracking,High,91,Container_Large,Medium,1.17,0.12,Very Low,Green_Region,Off-Peak,Execute Immediately
Returns Processing,Critical,217,VM_XLarge,High,6.06,1.78,Very High,us-west,Peak,Shift to Green Region + Night
Order Processing,Critical,182,VM_XLarge,Low,3.72,1.39,High,eu-central,Night,Shift to Green Region + Night
Order Processing,Low,24,Container_Micro,Low,0.21,0.06,Very Low,eu-central,Off-Peak,Green Region Immediate
Payment Settlement,Low,18,VM_Small,Critical,0.35,0.02,Very Low,Green_Region,Night,Execute Immediately
Order Processing,Critical,294,Bare_Metal,Medium,7.78,3.46,Very High,us-east,Night,Shift to Green Region + Night
Inventory Update,Medium,37,Container_Small,Low,0.49,0.23,Low,us-east,Peak,Green Region Immediate
Demand Forecasting,High,99,Container_Large,Low,1.2,0.82,High,ap-south,Weekend,Shift to Green Region + Night
Shipment Tracking,Low,24,VM_Small,High,0.45,0.14,Very Low,eu-central,Night,Green Region Immediate
Order Processing,Medium,41,VM_Medium,High,0.89,0.23,Low,eu-central,Off-Peak,Green Region Immediate
Demand Forecasting,Low,13,VM_Small,Low,0.3,0.18,Low,ap-south,Off-Peak,Green Region Immediate
Inventory Update,Low,16,Container_Micro,Low,0.15,0.08,Very Low,ap-east,Off-Peak,Green Region Immediate
Shipment Tracking,Low,24,VM_Small,Critical,0.6,0.17,Low,eu-central,Peak,Green Region Immediate
Fleet Dispatch,Medium,40,VM_Medium,Critical,1.19,0.85,High,ap-south,Peak,Shift to Green Region + Night
Payment Settlement,Medium,60,Container_Small,Medium,0.89,0.23,Low,eu-central,Peak,Green Region Immediate
Fleet Dispatch,Medium,41,Container_Small,Low,0.58,0.2,Low,eu-central,Peak,Green Region Immediate
Inventory Update,Medium,60,VM_Medium,Low,1.26,0.14,Very Low,Green_Region,Night,Execute Immediately
Returns Processing,High,107,VM_Large,Low,2.63,1.13,High,us-east,Weekend,Shift to Green Region + Night
Shipment Tracking,Critical,178,VM_XLarge,Critical,3.88,2.62,Very High,ap-south,Weekend,Shift to Green Region + Night
Demand Forecasting,Medium,47,VM_Medium,High,0.99,0.44,Medium,us-east,Weekend,Schedule Night (Low Load)
Shipment Tracking,Critical,241,VM_XLarge,Medium,6.58,2.07,Very High,eu-central,Peak,Schedule Night (Low Load)
Fleet Dispatch,Low,15,Container_Micro,Medium,0.18,0.01,Very Low,Green_Region,Peak,Execute Immediately
Shipment Tracking,Medium,46,VM_Medium,High,1.0,0.11,Very Low,Green_Region,Weekend,Execute Immediately
Inventory Update,High,88,Container_Large,Medium,1.06,0.46,Medium,us-east,Night,Schedule Night (Low Load)
Demand Forecasting,High,93,VM_Large,Medium,3.24,0.34,Low,Green_Region,Peak,Execute Immediately
Inventory Update,High,102,VM_Large,Critical,2.59,0.19,Low,Green_Region,Weekend,Execute Immediately
Returns Processing,Critical,290,VM_XLarge,High,7.04,3.13,Very High,us-east,Peak,Shift to Green Region + Night
Quality Control,Low,20,Container_Micro,High,0.23,0.02,Very Low,Green_Region,Peak,Execute Immediately
Order Processing,Low,17,Container_Micro,Medium,0.13,0.06,Very Low,us-east,Night,Schedule Night (Low Load)
Order Processing,Low,15,Container_Micro,High,0.17,0.12,Very Low,ap-south,Peak,Schedule Night (Low Load)
Returns Processing,High,98,Container_Large,Low,1.68,0.72,Medium,ap-east,Peak,Schedule Night (Low Load)
Order Processing,Critical,142,VM_XLarge,Critical,3.24,1.36,High,ap-east,Weekend,Shift to Green Region + Night
Inventory Update,Medium,35,VM_Medium,Critical,0.72,0.2,Low,eu-central,Night,Green Region Immediate
Supplier Management,Low,18,Container_Micro,Medium,0.21,0.13,Very Low,ap-south,Peak,Green Region Immediate
Payment Settlement,Low,24,VM_Small,Critical,0.43,0.16,Low,eu-central,Night,Green Region Immediate
Returns Processing,Critical,283,VM_XLarge,High,5.07,0.32,Low,Green_Region,Night,Execute Immediately
Supplier Management,Critical,277,Bare_Metal,Low,7.87,1.68,Very High,us-west,Weekend,Green Region Immediate
Payment Settlement,Medium,40,Container_Small,High,0.54,0.37,Low,ap-south,Peak,Green Region Immediate
Supplier Management,Critical,153,Bare_Metal,Medium,5.23,1.42,High,us-west,Off-Peak,Shift to Green Region + Night
Returns Processing,Critical,147,Bare_Metal,Low,4.77,2.0,Very High,ap-east,Night,Shift to Green Region + Night
Quality Control,Medium,35,VM_Medium,Medium,0.79,0.38,Low,us-east,Off-Peak,Green Region Immediate
Payment Settlement,Critical,283,VM_XLarge,Low,5.25,1.72,Very High,eu-central,Weekend,Shift to Green Region + Night
Inventory Update,Medium,49,Container_Small,Critical,0.68,0.33,Low,us-east,Peak,Green Region Immediate
Demand Forecasting,Medium,55,VM_Medium,Critical,1.24,0.15,Low,Green_Region,Weekend,Execute Immediately
Fleet Dispatch,Critical,217,VM_XLarge,Critical,5.66,1.43,High,eu-central,Peak,Shift to Green Region + Night
Supplier Management,Critical,239,Bare_Metal,Medium,7.01,2.57,Very High,eu-central,Weekend,Shift to Green Region + Night
Returns Processing,High,106,VM_Large,Critical,2.58,1.07,High,us-east,Night,Shift to Green Region + Night
Demand Forecasting,Critical,155,VM_XLarge,Low,3.36,1.67,Very High,us-east,Weekend,Shift to Green Region + Night
Supplier Management,Low,22,VM_Small,Critical,0.38,0.12,Very Low,eu-central,Night,Green Region Immediate
Supplier Management,Low,17,VM_Small,Critical,0.47,0.23,Low,ap-east,Peak,Green Region Immediate
Warehouse Allocation,Critical,166,Bare_Metal,Low,7.15,2.03,Very High,eu-central,Peak,Shift to Green Region + Night
Demand Forecasting,Medium,38,VM_Medium,High,1.12,0.62,Medium,ap-south,Peak,Schedule Night (Low Load)
Payment Settlement,High,98,Container_Large,Critical,1.09,0.29,Low,eu-central,Night,Green Region Immediate
Inventory Update,Medium,48,VM_Medium,Medium,1.04,0.34,Low,eu-central,Weekend,Green Region Immediate
Warehouse Allocation,Low,28,Container_Micro,Medium,0.24,0.11,Very Low,us-east,Weekend,Green Region Immediate
Quality Control,Critical,250,Bare_Metal,High,10.21,4.66,Very High,ap-east,Peak,Shift to Green Region + Night
Payment Settlement,Medium,53,Container_Small,Medium,0.57,0.16,Low,us-west,Weekend,Green Region Immediate
Supplier Management,High,70,VM_Large,Medium,1.78,1.08,High,ap-south,Night,Shift to Green Region + Night
Inventory Update,Low,11,VM_Small,High,0.25,0.02,Very Low,Green_Region,Weekend,Execute Immediately
Demand Forecasting,Low,16,VM_Small,Medium,0.36,0.16,Low,ap-east,Off-Peak,Green Region Immediate
Shipment Tracking,Low,26,Container_Micro,Low,0.23,0.08,Very Low,eu-central,Weekend,Green Region Immediate
Fleet Dispatch,High,103,Container_Large,High,1.73,0.52,Medium,eu-central,Peak,Schedule Night (Low Load)
Shipment Tracking,High,85,VM_Large,Medium,2.09,0.62,Medium,eu-central,Night,Schedule Night (Low Load)
Payment Settlement,High,98,VM_Large,Low,2.48,0.85,High,eu-central,Weekend,Shift to Green Region + Night
Quality Control,Low,26,VM_Small,Low,0.53,0.15,Low,eu-central,Off-Peak,Green Region Immediate
Quality Control,Low,17,Container_Micro,Low,0.2,0.09,Very Low,ap-east,Peak,Green Region Immediate
Supplier Management,Medium,52,VM_Medium,Low,1.6,0.96,High,ap-south,Peak,Shift to Green Region + Night
Quality Control,High,106,Container_Large,Medium,1.25,0.51,Medium,us-east,Weekend,Schedule Night (Low Load)
Quality Control,High,79,VM_Large,Low,2.65,0.16,Low,Green_Region,Peak,Green Region Immediate
Payment Settlement,Critical,131,VM_XLarge,Low,2.8,0.3,Low,Green_Region,Night,Execute Immediately
Fleet Dispatch,Medium,31,Container_Small,Medium,0.27,0.16,Low,ap-south,Night,Green Region Immediate
Quality Control,Low,16,Container_Micro,Critical,0.15,0.08,Very Low,ap-east,Off-Peak,Green Region Immediate
Shipment Tracking,Critical,287,Bare_Metal,Critical,11.57,7.17,Very High,ap-south,Peak,Shift to Green Region + Night
Fleet Dispatch,Low,30,Container_Micro,Low,0.34,0.2,Low,ap-south,Peak,Green Region Immediate
Warehouse Allocation,Critical,155,VM_XLarge,Low,3.28,1.09,High,eu-central,Night,Shift to Green Region + Night
Supplier Management,Medium,33,VM_Medium,Critical,0.94,0.19,Low,us-west,Peak,Green Region Immediate
Payment Settlement,Medium,37,Container_Small,Critical,0.39,0.18,Low,ap-east,Off-Peak,Green Region Immediate
Order Processing,Low,10,Container_Micro,Medium,0.09,0.03,Very Low,us-west,Weekend,Green Region Immediate
Supplier Management,Low,14,Container_Micro,Low,0.11,0.03,Very Low,eu-central,Night,Green Region Immediate
Quality Control,Critical,241,Bare_Metal,Medium,9.66,1.08,High,Green_Region,Peak,Shift to Green Region + Night
Quality Control,Low,14,VM_Small,Low,0.31,0.15,Low,ap-east,Off-Peak,Green Region Immediate
Order Processing,Critical,251,Bare_Metal,Medium,9.61,3.02,Very High,us-west,Peak,Shift to Green Region + Night
Supplier Management,Medium,58,VM_Medium,Low,1.17,0.47,Medium,ap-east,Night,Schedule Night (Low Load)
Payment Settlement,Medium,38,Container_Small,Critical,0.5,0.14,Very Low,eu-central,Peak,Green Region Immediate
Warehouse Allocation,Critical,298,Bare_Metal,Low,8.73,2.73,Very High,us-west,Off-Peak,Shift to Green Region + Night
Warehouse Allocation,Critical,233,Bare_Metal,Medium,7.29,3.02,Very High,us-east,Off-Peak,Shift to Green Region + Night
Warehouse Allocation,Critical,277,Bare_Metal,Critical,7.68,5.48,Very High,ap-south,Weekend,Shift to Green Region + Night
Inventory Update,Medium,50,VM_Medium,Low,1.47,0.71,Medium,us-east,Peak,Schedule Night (Low Load)
Warehouse Allocation,Low,29,Container_Micro,Medium,0.26,0.15,Low,ap-south,Off-Peak,Green Region Immediate
Returns Processing,Low,17,VM_Small,Medium,0.35,0.17,Low,ap-east,Off-Peak,Green Region Immediate
Inventory Update,Low,12,VM_Small,High,0.25,0.06,Very Low,us-west,Night,Green Region Immediate
Warehouse Allocation,High,117,Container_Large,Medium,1.46,0.67,Medium,ap-east,Weekend,Schedule Night (Low Load)
Shipment Tracking,Medium,42,VM_Medium,Critical,0.87,0.27,Low,us-west,Night,Schedule Night (Low Load)
Shipment Tracking,Medium,56,Container_Small,Low,0.58,0.26,Low,us-east,Night,Green Region Immediate
Order Processing,Low,29,VM_Small,Medium,0.76,0.32,Low,us-east,Peak,Green Region Immediate
Supplier Management,Medium,46,VM_Medium,Medium,1.09,0.68,Medium,ap-south,Off-Peak,Schedule Night (Low Load)
Warehouse Allocation,Low,17,VM_Small,Critical,0.37,0.23,Low,ap-south,Off-Peak,Green Region Immediate
Quality Control,Critical,126,VM_XLarge,Low,4.22,2.76,Very High,ap-south,Peak,Shift to Green Region + Night
Payment Settlement,Low,14,VM_Small,Medium,0.3,0.09,Very Low,eu-central,Weekend,Green Region Immediate
Quality Control,Critical,229,Bare_Metal,High,8.88,3.97,Very High,ap-east,Peak,Shift to Green Region + Night
Payment Settlement,High,96,VM_Large,High,2.34,0.64,Medium,us-west,Weekend,Schedule Night (Low Load)
Order Processing,Critical,161,Bare_Metal,High,7.31,3.01,Very High,us-east,Peak,Shift to Green Region + Night
Order Processing,Critical,155,Bare_Metal,Low,4.94,1.68,Very High,eu-central,Weekend,Shift to Green Region + Night
Quality Control,Critical,201,VM_XLarge,Critical,3.88,1.93,Very High,ap-east,Night,Shift to Green Region + Night
Payment Settlement,Low,21,VM_Small,Low,0.4,0.14,Very Low,eu-central,Night,Green Region Immediate
Fleet Dispatch,Critical,133,Bare_Metal,Low,5.03,2.27,Very High,us-east,Off-Peak,Shift to Green Region + Night
